,FOR SIMULATION USE ONLY,,,,
,Time now 00:50Z,,Box Lookup Map,Pre-Incident Guidelines,
,Postal,973 NB SQUIDRILLO HWY,, is in District ,#N/A
,,,,,
,Jurisdiction:,#N/A,Box area,,#N/A
,The running order is:,#N/A,,#N/A,
,Insert custom box →,,Hydranted,,#N/A
,Determinant Code,1ALM, receives a(n) ,1ST ALARM / 1ST response.,
,,,,,
,Recommendation [3E+1T+1M+1CH+1FMO]:,#N/A,,,
,#N/A,#N/A,,#N/A,
,PRE-ALERT:,#N/A,,,
,Engines in order:,#N/A,,,
,Trucks in order:,#N/A,,,
,Rescue/Squads in order:,#N/A,,,
,Tankers in order:,#N/A,,,
,ALS Transports in order:,#N/A,,,
,BLS Transports in order:,#N/A,,,
,,,,,
,Postal,600 VINEWOOD BLVD (ROUTE 18) UNIT B,, is in District ,#N/A
,,,,,
,Jurisdiction:,#N/A,Box area,,#N/A
,The running order is:,#N/A,,,
,Insert custom box →,,Hydranted,,#N/A
,Determinant Code,NATGASLEAKMAJOR, receives a(n) ,GASMAJOR / GASFULL response.,
,,,,,
,Recommendation [3E+1T+1R+1M+1HM+1CH]:,#N/A,,,
,#N/A,#N/A,,#N/A,
,PRE-ALERT:,#N/A,,,
,Engines in order:,#N/A,,,
,Trucks in order:,#N/A,,,
,Rescue/Squads in order:,#N/A,,,
,Tankers in order:,#N/A,,,
,ALS Transports in order:,#N/A,,,
,BLS Transports in order:,#N/A,,,
,FOR SIMULATION USE ONLY,,,,
