1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
DETERMINANT CODE,INCIDENT TYPE,RESPONSE PLAN,RESPONSE SHORT,RESPONSE VERBAL,NOTIFICATION GROUP,Patrol,Sheriff,Traffic,K9,SRU,EOD/Bomb,Supervisor,Motor,Bicycle,Air,Port Authority,Warrant,Vice,Wildlife,Animal,Investigations,FMO,,,
100E01,CID,CID,,CALLER IN DANGER,,4,,,,,,,,,,,,,,,,,,,
101D01,HOSTI,4P1S,,"HOSTAGE SITUATION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D01W,HOSTI,4P1S,,"HOSTAGE SITUATION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D01E,HOSTI,4P1S,,"HOSTAGE SITUATION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D01X,HOSTI,4P1S,,"HOSTAGE SITUATION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D01O,HOSTN,REF,,"HOSTAGE SITUATION, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101D01T,HOSTT,REF,,"HOSTAGE SITUATION, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101D01R,HOSTR,REF,,"HOSTAGE SITUATION, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
101D02,ABDUCTI,4P1S,,"ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D02W,ABDUCTI,4P1S,,"ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D02E,ABDUCTI,4P1S,,"ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D02X,ABDUCTI,4P1S,,"ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D02O,ABDUCTN,REF,,"ABDUCTION, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101D02T,ABDUCTT,REF,,"ABDUCTION, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101D02R,ABDUCTR,REF,,"ABDUCTION, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
101D03,PABDUCTI,4P1S,,"PARENTAL/CUSTODIAL ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D03W,PABDUCTI,4P1S,,"PARENTAL/CUSTODIAL ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D03E,PABDUCTI,4P1S,,"PARENTAL/CUSTODIAL ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D03X,PABDUCTI,4P1S,,"PARENTAL/CUSTODIAL ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D03O,PABDUCTN,REF,,"PARENTAL/CUSTODIAL ABDUCTION, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101D03T,PABDUCTT,REF,,"PARENTAL/CUSTODIAL ABDUCTION, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101D03R,PABDUCTR,REF,,"PARENTAL/CUSTODIAL ABDUCTION, REFERRAL",,0,,,,,,,,,,,,,,,,,,,
101D04,ABDUCTAI,4P1S,,"ATTEMPTED ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D04W,ABDUCTAI,4P1S,,"ATTEMPTED ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D04E,ABDUCTAI,4P1S,,"ATTEMPTED ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D04X,ABDUCTAI,4P1S,,"ATTEMPTED ABDUCTION, IN PROGRESS",,4,,,,,,1,,,,,,,,,,,,,
101D04O,ABDUCTAN,REF,,"ATTEMPTED ABDUCTION, ONLINE REPORTING",,0,,,,,,,,,,,,,,,,,,,
101D04T,ABDUCTAT,REF,,"ATTEMPTED ABDUCTION, TELEPHONE REPORTING",,0,,,,,,,,,,,,,,,,,,,
