1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DETERMINANT CODE,INCIDENT TYPE,RESPONSE PLAN,RESPONSE ABBREV,DETERMINANT TEXT,RESPONSE SHORT,NOTIFICATION GROUP,PRI,Engines,Trucks,Rescue/Squads,ALS Transports,BLS Transports,EMS Officer,Tankers,Brush Engines,Patrol Truck,Knight Truck,Wildland,Attack Tanker,ARFF,HM,USAR,SW,AR,HELO,PLANE,Chief,FMO
_ALL,ALL,_ALL,100E+100T+100R+100M+100A+100EMSO+100TNK+100BE+100PT+100KT+100WL+100AT+100CR+100HM+100USAR+100SW+100LF+100HELO+100PLANE+100CH+100FMO,ALL,ALL,,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
_ALL_AIR,ALL AIRCRAFT,_ALL_AIR,100LF+100HELO+100PLANE,ALL AIRCRAFT,ALL ACFT,[PA],9,,,,,,,,,,,,,,,,,100,100,100,,
_ALL_ALS,ALL ALS RESOURCES,_ALL_ALS,100E+100M+100EMSO,ALL ALS RESOURCES,ALL ALS RESOURCES,,9,100,,,100,,100,,,,,,,,,,,,,,,
_ALL_ALSTX,ALL ALS TRANSPORTS,_ALL_ALSTX,100M,ALL ALS TRANSPORTS,ALL ALS TXPTS,,9,,,,100,,,,,,,,,,,,,,,,,
_ALL_ARFF,ALL ARFF,_ALL_ARFF,100CR,ALL ARFF,ALL ARFF,[PA] [DSO],9,,,,,,,,,,,,,100,,,,,,,,
_ALL_ATTACK_TANKER,ALL ATTACK TANKERS,_ALL_ATTACK_TANKER,100AT,ALL ATTACK TANKERS,ALL ATTACK TANKERS,[SAFS],9,,,,,,,,,,,,100,,,,,,,,,
_ALL_BLSTX,ALL BLS TRANSPORTS,_ALL_BLSTX,100A,ALL BLS TRANSPORTS,ALL BLS TXPTS,,9,,,,,100,,,,,,,,,,,,,,,,
_ALL_BRUSH_ENGINES,ALL BRUSH ENGINES,_ALL_BRUSH_ENGINES,100BE,ALL BRUSH ENGINES,ALL BRUSH ENGINES,[SAFS],9,,,,,,,,100,,,,,,,,,,,,,
_ALL_CHIEF,ALL CHIEFS,_ALL_CHIEF,100CH,ALL CHIEFS,ALL CHIEFS,[BC] [ADMIN],9,,,,,,,,,,,,,,,,,,,,100,
_ALL_EMS,ALL EMS UNITS,_ALL_EMS,100M+100A+100EMSO+100LF,ALL EMS UNITS,ALL EMS UNITS,,9,,,,100,100,100,,,,,,,,,,,100,,,,
_ALL_EMSO,ALL EMS OFFICERS,_ALL_EMSO,100EMSO+100LF,ALL EMS OFFICERS,ALL EMS OFFICERS,,9,,,,,,100,,,,,,,,,,,100,,,,
_ALL_ENGINES,ALL ENGINES,_ALL_ENGINES,100E,ALL ENGINES,ALL ENGINES,,9,100,,,,,,,,,,,,,,,,,,,,
_ALL_FMO,ALL FIRE MARSHALS/INVESTIGATIONS,_ALL_FMO,100FMO,ALL FIRE MARSHALS/INVESTIGATIONS,ALL FIRE MARSHALS/INVESTS,[FMO],9,,,,,,,,,,,,,,,,,,,,,100
_ALL_HELO,ALL HELICOPTER,_ALL_HELO,100LF+100HELO,ALL HELICOPTER,ALL HELI,[PA] [DSO],9,,,,,,,,,,,,,,,,,100,100,,,
_ALL_HM,ALL HAZMAT,_ALL_HM,100HM,ALL HAZMAT,ALL HAZMAT,[DSO],9,,,,,,,,,,,,,,100,,,,,,,
_ALL_KNIGHT,ALL KNIGHT TRUCKS,_ALL_KNIGHT,100KT,ALL KNIGHT TRUCKS,ALL KNIGHT TRUCKS,[SAFS],9,,,,,,,,,,100,,,,,,,,,,,
_ALL_PATROL,ALL PATROL TRUCKS,_ALL_PATROL,100PT,ALL PATROL TRUCKS,ALL PATROL TRUCKS,[SAFS],9,,,,,,,,,100,,,,,,,,,,,,
_ALL_PLANE,ALL PLANES,_ALL_PLANE,100PLANE,ALL PLANES,ALL PLANES,[PA],9,,,,,,,,,,,,,,,,,,,100,,
_ALL_RESQ,ALL RESCUE/SQUADS,_ALL_RESQ,100R,ALL RESCUE/SQUADS,ALL RESCUE/SQUADS,,9,,,100,,,,,,,,,,,,,,,,,,
_ALL_SS,ALL SPECIAL SERVICES,_ALL_SS,100T+100R,ALL SPECIAL SERVICES,ALL SPECIAL SVCS,,9,,100,100,,,,,,,,,,,,,,,,,,
_ALL_SW,ALL SWIFT WATER,_ALL_SW,100SW,ALL SWIFT WATER,ALL SWIFT WATER,[PA] [DSO],9,,,,,,,,,,,,,,,,100,,,,,
_ALL_TRUCKS,ALL TRUCKS,_ALL_TRUCKS,100T,ALL TRUCKS,ALL TRUCKS,,9,,100,,,,,,,,,,,,,,,,,,,
_ALL_TXPT,ALL EMS TRANSPORTS,_ALL_TXPT,100M+100A+100LF,ALL EMS TRANSPORTS,ALL EMS TXPTS,,9,,,,100,100,,,,,,,,,,,,100,,,,
_ALL_USAR,ALL USAR,_ALL_USAR,100USAR,ALL USAR,ALL USAR,[DSO],9,,,,,,,,,,,,,,,100,,,,,,
_ALL_WATER,ALL WATER,_ALL_WATER,100SW,ALL WATER,ALL WATER,[DSO],9,,,,,,,,,,,,,,,,100,,,,,
_ALL_WILDLAND,ALL WILDLAND,_ALL_WILDLAND,100WL,ALL WILDLAND,ALL WILDLAND,[SAFS],9,,,,,,,,,,,100,,,,,,,,,,
01A01,ABDOMINALPAIN|ROUTINE,BLSR,1A,ABDOMINAL PAIN,"ABD PAIN, ROUTINE",,8,,,,,1,,,,,,,,,,,,,,,,
01A02,ABDOMINALPAIN|BLS,BLSU9,1A,"ABDOMINAL PAIN, TESTICLE OR GROIN PAIN (MALE)","ABD PAIN, BLS",,8,,,,,1,,,,,,,,,,,,,,,,
01C00,ABDOMINALPAIN|ALS1,ALS1,1E+1M,"ABDOMINAL PAIN, ALS OVERRIDE (CHARLIE)","ABD PAIN, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
01C01,ABDOMINALPAIN|ALS1,ALS1,1E+1M,"ABDOMINAL PAIN, SUSPECTED AORTIC ANEURYSM (TEARING/RIPPING PAIN) (>=50)","ABD PAIN, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
01C02,ABDOMINALPAIN|ALS1,ALS1,1E+1M,"ABDOMINAL PAIN, DIAGNOSED AORTIC ANEURYSM","ABD PAIN, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
01C03,ABDOMINALPAIN|ALS1,ALS1,1E+1M,"ABDOMINAL PAIN, FAINTING OR NEAR FAINTING (>=50)","ABD PAIN, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
01C04,ABDOMINALPAIN|ALS1,ALS1,1E+1M,"ABDOMINAL PAIN, FEMALES W/ FAINTING OR NEAR FAINTING (12-50)","ABD PAIN, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
01C05,ABDOMINALPAIN|BLS,BLSU9,1A,"ABDOMINAL PAIN, MALES W/ PAIN ABOVE NAVEL (>=35)","ABD PAIN, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
01C06,ABDOMINALPAIN|BLS,BLSU9,1A,"ABDOMINAL PAIN, FEMALES W/ PAIN ABOVE NAVEL (>=45)","ABD PAIN, BLS",,6,,,,,1,,,,,,,,,,,,,,,,
01D00,ABDOMINALPAIN|ALS1,ALS1,1E+1M,"ABDOMINAL PAIN, ALS OVERRIDE (DELTA)","ABD PAIN, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
01D01,ABDOMINALPAIN|ALS1,ALS1,1E+1M,"ABDOMINAL PAIN, NOT ALERT","ABD PAIN, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
01D02,ABDOMINALPAIN|ALS1,ALS1,1E+1M,"ABDOMINAL PAIN, ASHEN OR GRAY COLOR RPTD (>=50)","ABD PAIN, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02A01,ALLERGIC|BLS,BLSU9,1A,"ALLERGIC RX, NO DIFF BREATHING OR SWALLOWING (RASH, HIVES, OR ITCHING MAY BE PRESENT)","ALLERGIC RX, BLS",,8,,,,,1,,,,,,,,,,,,,,,,
02A02,ALLERGIC|ROUTINE,BLSR,1A,"ALLERGIC RX, SPIDER BITE","ALLERGIC RX, ROUTINE",,8,,,,,1,,,,,,,,,,,,,,,,
02A03,ALLERGIC|ROUTINE,BLSR,1A,"ALLERGIC RX, ASYMPTOMATIC ALLERGIC RX COMPLAINT (NO SEVERE RX HX)","ALLERGIC RX, ROUTINE",,8,,,,,1,,,,,,,,,,,,,,,,
02B00,ALLERGIC|BLS,BLSU9,1A,"ALLERGIC RX, BLS OVERRIDE (BRAVO)","ALLERGIC RX, BLS",,7,,,,,1,,,,,,,,,,,,,,,,
02B00I,ALLERGIC|BLS,BLSU9,1A,"ALLERGIC RX, BLS OVERRIDE (BRAVO), INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX, BLS",,7,,,,,1,,,,,,,,,,,,,,,,
02B00M,ALLERGIC|BLS,BLSU9,1A,"ALLERGIC RX, BLS OVERRIDE (BRAVO), MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX, BLS",,7,,,,,1,,,,,,,,,,,,,,,,
02B01,ALLERGIC|BLS,BLSU9,1A,"ALLERGIC RX, UNKN STATUS/OTHER CODES NOT APPLICABLE","ALLERGIC RX, BLS",,7,,,,,1,,,,,,,,,,,,,,,,
02B01I,ALLERGIC|BLS,BLSU9,1A,"ALLERGIC RX, UNKN STATUS/OTHER CODES NOT APPLICABLE, INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX, BLS",,7,,,,,1,,,,,,,,,,,,,,,,
02B01M,ALLERGIC|BLS,BLSU9,1A,"ALLERGIC RX, UNKN STATUS/OTHER CODES NOT APPLICABLE, MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX, BLS",,7,,,,,1,,,,,,,,,,,,,,,,
02C00,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, ALS OVERRIDE (CHARLIE)","ALLERGIC RX, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
02C00I,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, ALS OVERRIDE (CHARLIE), INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
02C00M,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, ALS OVERRIDE (CHARLIE), MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
02C01,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, DIFF BREATHING OR SWALLOWING","ALLERGIC RX, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
02C01I,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, DIFF BREATHING OR SWALLOWING, INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
02C01M,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, DIFF BREATHING OR SWALLOWING, MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
02C02,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, HX OF SEVERE ALLERGIC RX","ALLERGIC RX, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
02C02I,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, HX OF SEVERE ALLERGIC RX, INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
02C02M,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, HX OF SEVERE ALLERGIC RX, MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,6,1,,,1,,,,,,,,,,,,,,,,,
02D00,ALLERGIC|ALS2,ALS2,1E+1M+1EMSO,"ALLERGIC RX, ALS OVERRIDE (DELTA)","ALLERGIC RX, ALS2",,2,1,,,1,,1,,,,,,,,,,,,,,,
02D00I,ALLERGIC|ALS2,ALS2,1E+1M+1EMSO,"ALLERGIC RX, ALS OVERRIDE (DELTA), INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS2",,2,1,,,1,,1,,,,,,,,,,,,,,,
02D00M,ALLERGIC|ALS2,ALS2,1E+1M+1EMSO,"ALLERGIC RX, ALS OVERRIDE (DELTA), MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS2",,2,1,,,1,,1,,,,,,,,,,,,,,,
02D01,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, NOT ALERT","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D01I,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, NOT ALERT, INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D01M,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, NOT ALERT, MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D02,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, DIFF SPEAKING BETWEEN BREATHS","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D02I,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, DIFF SPEAKING BETWEEN BREATHS, INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D02M,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, DIFF SPEAKING BETWEEN BREATHS, MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D03,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, SWARMING ATTACK (BEES, WASPS, HORNETS, ETC.)","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D03I,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, SWARMING ATTACK (BEES, WASPS, HORNETS, ETC.), INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D03M,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, SWARMING ATTACK (BEES, WASPS, HORNETS, ETC.), MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D04,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, SNAKEBITE","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D04I,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, SNAKEBITE, INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02D04M,ALLERGIC|ALS1,ALS1,1E+1M,"ALLERGIC RX, SNAKEBITE, MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX, ALS1",,5,1,,,1,,,,,,,,,,,,,,,,,
02E00,ALLERGIC|CPR,AL2D,1E+1M+1EMSO,"ALLERGIC RX, ALS OVERRIDE (ECHO)","ALLERGIC RX W/ CPR, ALS2",,2,1,,,1,,1,,,,,,,,,,,,,,,
02E00I,ALLERGIC|CPR,AL2D,1E+1M+1EMSO,"ALLERGIC RX, ALS OVERRIDE (ECHO), INJECTION ADMINISTERED OR ADVISED","ALLERGIC RX W/ CPR, ALS2",,2,1,,,1,,1,,,,,,,,,,,,,,,
02E00M,ALLERGIC|CPR,AL2D,1E+1M+1EMSO,"ALLERGIC RX, ALS OVERRIDE (ECHO), MEDICATION ADMINISTERED OR ADVISED","ALLERGIC RX W/ CPR, ALS2",,2,1,,,1,,1,,,,,,,,,,,,,,,
