,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
RESPONSE PLAN,INCIDENT TYPE,RESPONSE PLAN,RESPONSE VERBAL,Engines,Trucks,Rescue/Squads,ALS Transports,BLS Transports,EMS Officer,Tankers,Brush Engines,Patrol Truck,Knight Truck,Wildland,Attack Tanker,ARFF,HM,USAR,SW,AR,HELO,PLANE,Chief,FMO,NOTIF
NORESPONSE,[NULL],NORESPONSE,NOTIFICATION ONLY,,,,,,,,,,,,,,,,,,,,,,
10-60,10-60,10-60,TEN-SIXTY,8,4,3,2,4,2,,,,,,,,1,1,,,,,8,2,
10-60-1,10-60-1,10-60-1,TEN-SIXTY CODE 1,13,7,4,3,6,3,,,,,,,,1,1,,,,,11,2,
10-66,10-66,10-66,TEN-SIXTY-SIX,1,1,1,1,1,1,,,,,,,,,,,,,,2,,
10-75,10-75,10-75,TEN-SEVENTY-FIVE,4,2,1,1,,,,,,,,,,,,,,,,3,,
10-76,10-76,10-76,TEN-SEVENTY-SIX,5,4,2,1,,,,,,,,,,,,,,,,4,,
BLS0,BLS|COLD,BLS0,"BLS, COLD RESPONSE",,,,,1,,,,,,,,,,,,,,,,,
BLS1,BLS|HOT,BLS1,"BLS, HOT RESPONSE",1,,,,1,,,,,,,,,,,,,,,,,
BLSR,BLS|COLD,BLSR,"BLS, COLD RESPONSE",,,,,1,,,,,,,,,,,,,,,,,
BLSM,BLS|MULT,BLSM,"BLS, MULTIPLE PATIENTS",1,,,,2,,,,,,,,,,,,,,,,,
BLS+,BLS|PLUS,BLS+,"BLS, EXTRA STAFFING",1,,,,1,,,,,,,,,,,,,,,,,
ALS0,ALS|COLD,ALS0,"ALS, COLD RESPONSE",,,,1,,,,,,,,,,,,,,,,,,
ALS1,ALS1|HOT,ALS1,"ALS1, HOT RESPONSE",1,,,1,,,,,,,,,,,,,,,,,,
ALS2,ALS2|HOT,ALS2,"ALS2, HOT RESPONSE",1,,,1,,1,,,,,,,,,,,,,,,,
ALSR,ALS|COLD,ALSR,"ALS, COLD RESPONSE",,,,1,,,,,,,,,,,,,,,,,,
ALSM,ALS|MULT,ALSM,"ALS, MULTIPLE PATIENTS",1,,,2,,1,,,,,,,,,,,,,,,,
ALS+,ALS|PLUS,ALS+,"ALS, EXTRA STAFFING",1,,,,,,,,,,,,,,,,,,,,,
CPR,CPR,CPR,CPR,2,,,1,,1,,,,,,,,,,,,,,,,
10-77,10-77,10-77,TEN-SEVENTY-SEVEN,5,5,2,1,,,,,,,,,,,,,,,,3,,
10-80,10-80,10-80,TEN-EIGHTY,3,2,,1,,,,,,,,,,1,,,,,,1,,
1ST,1ST ALARM,1ST,FIRST ALARM,3,1,,1,,,,,,,,,,,,,,,,1,1,
COMM,COMM,COMM,COMMERCIAL RESPONSE,3,2,1,1,,,,,,,,,,,1,,,,,1,1,
MR32,MINRESP32,MR32,MINIMUM RESPONSE 3 & 2,3,2,,,,,,,,,,,,,,,,,,,,
MR33,MINRESP33,MR33,MINIMUM RESPONSE 3 & 3,3,3,,,,,,,,,,,,,,,,,,,,
MR34,MINRESP34,MR34,MINIMUM RESPONSE 3 & 4,3,4,,,,,,,,,,,,,,,,,,,,
MR42,MINRESP42,MR42,MINIMUM RESPONSE 4 & 2,4,2,,,,,,,,,,,,,,,,,,,,
MR43,MINRESP43,MR43,MINIMUM RESPONSE 4 & 3,4,3,,,,,,,,,,,,,,,,,,,,
MR44,MINRESP44,MR44,MINIMUM RESPONSE 4 & 4,4,4,,,,,,,,,,,,,,,,,,,,
HR,HI-RISE,HR,HIGH RISE RESPONSE,4,2,1,2,,,,,,,,,,,1,,1,,,2,1,
2ND,2ND ALARM,2ND,SECOND ALARM,4,2,,2,,,,,,,,,,,,,,,,2,1,
3RD,3RD ALARM,3RD,THIRD ALARM,5,3,,2,1,,,,,,,,,,,,,,,3,1,
4TH,4TH ALARM,4TH,FOURTH ALARM,6,4,,2,1,,,,,,,,,,,,,,,4,1,
5TH,5TH ALARM,5TH,FIFTH ALARM,7,5,,2,1,,,,,,,,,,,,,,,5,1,
ALS1,ABDOMINALPAIN|ALS1,ALS1,"ABDOMINAL PAIN, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
BLSU9,ABDOMINALPAIN|BLS,BLSU9,"ABDOMINAL PAIN, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
BLSR,ABDOMINALPAIN|ROUTINE,BLSR,"ABDOMINAL PAIN, ROUTINE",,,,,1,,,,,,,,,,,,,,,,,
ACTVASL,ACTIVE ASSAILANT,ACTVASL,ACTIVE ASSAILANT,2,,,3,2,1,,,,,,,,,,,,,,1,1,
AHW,AHW,AHW,ALL HANDS TO WORK,4,3,2,1,,,,,,,,,,,,,,,,3,,
PHM1,AIR|ALERT,PHM1,INCOMING AIRCRAFT ALERT,2,,1,1,1,,,,,,,,,1,,,,,,1,,
SA,AIR|BORNE,SA,AIRBORNE INCIDENT,1,,,,,,,,,,,,,,,,,,,,,
HMFULL,AIR|CRASH|LARGE,HMFULL,LARGE AIRCRAFT CRASH,3,1,1,2,,,,,,,,,2,2,,,,,,1,,
HMFULLWTR,AIR|CRASH|LARGE|WATER,HMFULLWTR,LARGE AIRCRAFT CRASH INVOLVING WATER,3,1,1,2,,,,,,,,,2,2,,2,,,,1,,
PHM1,AIR|CRASH|SMALL,PHM1,SMALL AIRCRAFT CRASH,2,,1,1,1,,,,,,,,,1,,,,,,1,,
PHMWTR,AIR|CRASH|SMALL|WATER,PHMWTR,SMALL AIRCRAFT CRASH INVOLVING WATER,2,,1,1,1,,,,,,,,,1,,2,,,,1,,
HMFULL,AIR|FullEmergency,HMFULL,FULL AIRCRAFT EMERGENCY,3,1,1,2,,,,,,,,,2,2,,,,,,1,,
SE,AIR|INVEST,SE,AIRCRAFT INVESTIGATION,1,,,,,,,,,,,,,,,,,,,,,
SE,AIR|INVEST|ROUTINE,SE,"AIRCRAFT INVESTIGATIONIGATION, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
PHM1,AIR|MinorEmergency,PHM1,MINOR AIRCRAFT EMERGENCY,2,,1,1,1,,,,,,,,,1,,,,,,1,,
SE,AIR|STANDBY|ROUTINE,SE,"AIRCRAFT STANDBY, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
SE,AIR|STNDBY,SE,AIRCRAFT STANDBY,1,,,,,,,,,,,,,,,,,,,,,
SA,AIRBORNE|ROUTINE,SA,"AIRBORNE, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
SCT,ALARM|CO,SCT,C-O ALARM,1,1,,,,,,,,,,,,,,,,,,,,
FDALS1,ALARM|CO|ALS1,FDALS1,"C-O ALARM, A-L-S ONE",1,1,,1,,,,,,,,,,,,,,,,,,
FDMULTP,ALARM|CO|MULT,FDMULTP,C-O ALARM WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
SCT,ALARM|ELEVATOR|ROUTINE,SCT,"ELEVATOR ALARM, ROUTINE",1,1,,,,,,,,,,,,,,,,,,,,
