postal_list,running_order,num_postals
"0389 W GALILEO AVE,0390 MOUNT VINEWOOD DR
[1](MARLOWE DR TO W GALILEO AVE),0390 W GALILEO AVE,0482 MARLOWE DR
[1](LAKE VINEWOOD DR TO MILTON RD),0482 MOUNT VINEWOOD DR,0485 MARLOWE DR,0495 MARLOWE DR
[2](LAKE VINEWOOD DR TO MILTON RD),388,485","1,10,2,6,8,5,7,4,3,9,11,12",9
"0386 E GALILEO AVE,0386 E GALILEO AVE / GALILEO PASS,0386 E GALILEO AVE / OBSERVATORY APPROACH,0386 GALILEO PASS,0386 GALILEO PASS
[1](GALILEO PASS TO GALILEO TRAIL),0386 GALILEO PASS
[2](GALILEO TRAIL TO GALILEO PASS),0386 GALILEO PASS
[3](GALILEO PASS TO OBSERVATORY APPROACH),0386 GALILEO PASS / E GALILEO AVE,0386 GALILEO PASS / GALILEO TRAIL,0386 GALILEO PASS / OBSERVATORY APPROACH,0386 GALILEO TRAIL
[1](GALILEO TRAIL TO GALILEO TRAIL),0386 GALILEO TRAIL
[2](GALILEO TRAIL TO GALILEO TRAIL),0386 GALILEO TRAIL
[3](GALILEO PASS TO GALILEO TRAIL),0386 GALILEO TRAIL / GALILEO PASS,0386 OBSERVATORY APPROACH,0386 OBSERVATORY APPROACH / E GALILEO AVE,0386 OBSERVATORY APPROACH / GALILEO PASS,0387 OBSERVATORY APPROACH,0387 OBSERVATORY APPROACH
[1](WRIGHT TRAIL TO E GALILEO AVE),0387 OBSERVATORY APPROACH / WRIGHT TRAIL,0387 WRIGHT TRAIL,0387 WRIGHT TRAIL
[1](E GALILEO AVE TO WRIGHT TRAIL),0387 WRIGHT TRAIL
[2](OBSERVATORY APPROACH TO WRIGHT TRAIL),0387 WRIGHT TRAIL / OBSERVATORY APPROACH,0389 GALILEO PASS,0389 GALILEO PASS / OBSERVATORY APPROACH,0389 GALILEO PASS / W GALILEO AVE,0389 GALILEO TRAIL,0389 GALILEO TRAIL
[1](GALILEO TRAIL TO GALILEO TRAIL),0389 GALILEO TRAIL
[2](GALILEO TRAIL TO OBSERVATORY APPROACH),0389 GALILEO TRAIL / OBSERVATORY APPROACH,0389 OBSERVATORY APPROACH,0389 OBSERVATORY APPROACH
[1](GALILEO TRAIL TO W GALILEO AVE),0389 OBSERVATORY APPROACH / GALILEO PASS,0389 OBSERVATORY APPROACH / GALILEO TRAIL,0389 OBSERVATORY APPROACH / W GALILEO AVE,0389 W GALILEO AVE / GALILEO PASS,0389 W GALILEO AVE / OBSERVATORY APPROACH,0515 WRIGHT TRAIL,0515 WRIGHT TRAIL
[1](E GALILEO AVE TO WRIGHT TRAIL),0516 BAYTREE CANYON RD / E GALILEO AVE,0516 E GALILEO AVE,0516 E GALILEO AVE
[1](WRIGHT TRAIL TO BAYTREE CANYON RD),0516 E GALILEO AVE / BAYTREE CANYON RD,0516 E GALILEO AVE / WRIGHT TRAIL,0516 WRIGHT TRAIL,0516 WRIGHT TRAIL / E GALILEO AVE,0517 E GALILEO AVE,0517 E GALILEO AVE
[1](GALILEO TRAIL TO OBSERVATORY APPROACH),0517 E GALILEO AVE / GALILEO TRAIL,0517 GALILEO TRAIL / E GALILEO AVE,386,387,389,516,GALILEO OBSERVATORY - 0388 OBSERVATORY APPROACH [C],GALILEO PARK - 0389 OBSERVATORY APPROACH","1,10,2,7,6,4,8,5,3,9,11,12",57
"515,SISYPHUS THEATER - 0515 BAYTREE CANYON RD [C],SISYPHUS THEATER - 0515 BAYTREE CANYON RD BLDG A [C],SISYPHUS THEATER - 0515 BAYTREE CANYON RD BLDG B,SISYPHUS THEATER - 0515 BAYTREE CANYON RD BLDG C","1,10,2,7,6,8,4,5,9,3,11,12",5
"0495 MARLOWE DR,0495 MARLOWE DR
[1](MARLOWE TRAIL TO MARLOWE PL),0495 MARLOWE DR / MARLOWE TRAIL,0495 MARLOWE TRAIL,0495 MARLOWE TRAIL / MARLOWE DR,0496 MARLOWE DR,0496 MARLOWE DR
[1](MARLOWE TRAIL TO MARLOWE PL),0496 MARLOWE DR / MARLOWE PL,0496 MARLOWE PL,0496 MARLOWE PL,0496 MARLOWE PL,0496 MARLOWE PL,0496 MARLOWE PL / MARLOWE DR,0496 MARLOWE TRAIL,0497 MARLOWE DR,0497 MARLOWE DR / MARLOWE TRAIL,0497 MARLOWE TRAIL,0497 MARLOWE TRAIL / MARLOWE DR,0498 MARLOWE DR,0498 MARLOWE PL,0498 MARLOWE TRAIL,0499 MARLOWE PL,0499 MARLOWE PL,0499 MARLOWE PL
[1](MARLOWE PL TO MARLOWE PL),0499 MARLOWE TRAIL,0499 MARLOWE TRAIL
[1](MARLOWE DR TO MARLOWE DR),0500 MARLOWE TRAIL,496,498,499,500","1,10,2,7,6,8,5,4,3,9,11,12",31
"0391 MARLOWE DR,0392 MARLOWE DR,0466 HILLCREST RIDGE ACCESS RD,0467 N SHELDON AVE,0467 N SHELDON AVE,0467 N SHELDON AVE,0467 N SHELDON AVE,0467 N SHELDON AVE,0467 N SHELDON AVE,0467 N SHELDON AVE,0467 N SHELDON AVE,0468 HILLCREST AVE,0468 HILLCREST RIDGE ACCESS RD,0477 HILLCREST AVE,0477 HILLCREST AVE,0478 KIMBLE HILL DR,0478 KIMBLE HILL DR / MILTON RD,0478 KIMBLE HILL DR / NORMANDY DR,0478 MILTON RD,0478 MILTON RD,0478 MILTON RD
[1](DIDION DR TO KIMBLE HILL DR),0478 MILTON RD / KIMBLE HILL DR,0478 MILTON RD / NORMANDY DR,0478 NORMANDY DR,0478 NORMANDY DR / KIMBLE HILL DR,0478 NORMANDY DR / MILTON RD,0479 HILLCREST AVE,0479 HILLCREST AVE,0479 HILLCREST AVE,0479 HILLCREST AVE,0479 HILLCREST AVE,0479 HILLCREST AVE
[1](N SHELDON AVE TO NORMANDY DR),0479 NORMANDY DR,0479 NORMANDY DR,0480 HILLCREST AVE,0480 HILLCREST AVE,0480 HILLCREST AVE,0480 HILLCREST AVE,0480 HILLCREST AVE,0480 N SHELDON AVE,0481 HILLCREST AVE,0481 N SHELDON AVE,0481 N SHELDON AVE,0481 N SHELDON AVE,0481 N SHELDON AVE
[1](MILTON RD TO NORMANDY DR),0481 N SHELDON AVE / NORMANDY DR,0481 NORMANDY DR,0481 NORMANDY DR,0481 NORMANDY DR
[1](N SHELDON AVE TO HILLCREST AVE),0481 NORMANDY DR / N SHELDON AVE,0482 MARLOWE DR,0482 N SHELDON AVE,0483 HILLCREST AVE,0483 HILLCREST AVE,0483 HILLCREST AVE / NORMANDY DR,0483 NORMANDY DR,0483 NORMANDY DR,0483 NORMANDY DR,0483 NORMANDY DR,0483 NORMANDY DR,0483 NORMANDY DR,0483 NORMANDY DR,0483 NORMANDY DR
[1](N SHELDON AVE TO HILLCREST AVE),0483 NORMANDY DR
[2](N SHELDON AVE TO HILLCREST AVE),0483 NORMANDY DR
[3](N SHELDON AVE TO HILLCREST AVE),0483 NORMANDY DR
[4](N SHELDON AVE TO HILLCREST AVE),0483 NORMANDY DR / HILLCREST AVE,0484 MILTON RD,0484 MILTON RD,0484 MILTON RD,0484 NORMANDY DR,0484 NORMANDY DR,0484 NORMANDY DR,0486 KIMBLE HILL DR,0486 KIMBLE HILL DR,0486 MILTON RD,0486 MILTON RD,0486 MILTON RD,0486 MILTON RD,0487 KIMBLE HILL DR,0487 KIMBLE HILL DR,0487 KIMBLE HILL DR,0487 KIMBLE HILL DR,0494 KIMBLE HILL DR,0494 KIMBLE HILL DR,0494 KIMBLE HILL DR,0494 KIMBLE HILL DR,0494 KIMBLE HILL DR,0501 KIMBLE HILL DR,10 KIMBLE HILL DR - 0494 KIMBLE HILL DR,2117 MILTON RD - 0483 NORMANDY DR,2862 HILLCREST AVE - 0477 HILLCREST AVE,2866 HILLCREST AVE - 0477 HILLCREST AVE,2868 HILLCREST AVE - 0479 HILLCREST AVE,2874 HILLCREST AVE - 0480 HILLCREST AVE,391,4 KIMBLE HILL DR - 0501 KIMBLE HILL DR,4590 MILTON RD - 0482 MILTON RD,467,468,477,479,480,481,482,483,484,486,487,494,VINEWOOD HILLS DOG EXERCISE PARK - 0481 N SHELDON AVE","1,10,4,6,8,5,7,2,3,9,11,12",111
"0482 MARLOWE DR / MILTON RD,0482 MARLOWE DR / MOUNT VINEWOOD DR,0482 MILTON RD,0482 MILTON RD
[1](N SHELDON AVE TO MARLOWE DR),0482 MILTON RD / MARLOWE DR,0482 MILTON RD / MOUNT VINEWOOD DR,0482 MILTON RD / N SHELDON AVE,0482 MOUNT VINEWOOD DR / MARLOWE DR,0482 MOUNT VINEWOOD DR / MILTON RD,0482 N SHELDON AVE / MILTON RD,0484 MILTON RD,0485 LAKE VINEWOOD DR,0486 LAKE VINEWOOD DR,0494 LAKE VINEWOOD DR,0495 LAKE VINEWOOD DR,0495 LAKE VINEWOOD DR / MARLOWE DR,0495 MARLOWE DR / LAKE VINEWOOD DR,0501 KIMBLE HILL DR,0501 KIMBLE HILL DR,495,501","1,10,4,6,8,7,5,2,3,9,11,12",21
"_BANHAM CANYON DR MM 0.0 / _MM0R11V / _R11MM0V - 430 BANHAM CANYON DR,_BANHAM CANYON DR MM 0.0 / _MM0R14V / _R14MM0V - 430 BANHAM CANYON DR,0393 MARLOWE DR,0393 TONGVA DR (ROUTE 11),0430 BANHAM CANYON DR,0430 BANHAM CANYON DR / ROUTE 11 (TONGVA DR),0430 BANHAM CANYON DR / ROUTE 14 (N ROCKFORD DR),0430 N ROCKFORD DR (ROUTE 14),0430 ROUTE 11 (TONGVA DR) / BANHAM CANYON DR TONGVA DR (ROUTE 11),0430 ROUTE 11 (TONGVA DR) / ROUTE 14 (N ROCKFORD DR) TONGVA DR (ROUTE 11),0430 ROUTE 14 (N ROCKFORD DR) / BANHAM CANYON DR N ROCKFORD DR (ROUTE 14),0430 ROUTE 14 (N ROCKFORD DR) / ROUTE 11 (TONGVA DR) N ROCKFORD DR (ROUTE 14),0430 TONGVA DR (ROUTE 11),0431 N ROCKFORD DR (ROUTE 14),0444 N ROCKFORD DR (ROUTE 14),0444 N ROCKFORD DR (ROUTE 14),0444 N ROCKFORD DR (ROUTE 14),0444 N ROCKFORD DR (ROUTE 14),0457 N ROCKFORD DR (ROUTE 14),0461 MARLOWE DR,430,430 ROUTE 11 (TONGVA DR) / BANHAM CANYON DR TONGVA DR (ROUTE 11),430 ROUTE 11 (TONGVA DR) / BANHAM CANYON DR TONGVA DR (ROUTE 11),430 ROUTE 11 (TONGVA DR) / BANHAM CANYON DR TONGVA DR (ROUTE 11),430 ROUTE 11 (TONGVA DR) / BANHAM CANYON DR TONGVA DR (ROUTE 11),430 ROUTE 11 (TONGVA DR) / BANHAM CANYON DR TONGVA DR (ROUTE 11),430 ROUTE 11 (TONGVA DR) / BANHAM CANYON DR TONGVA DR (ROUTE 11),444,457,LTD D VINEWOOD GAS STATION - 0430 N ROCKFORD DR (ROUTE 14)","1,10,4,8,5,6,7,2,3,9,11,12",30
"0445 N ROCKFORD DR (ROUTE 14),0446 N RICHMAN ST,0456 ACE JONES LN,0456 ACE JONES LN,0456 N RICHMAN ST,0456 N ROCKFORD DR (ROUTE 14),0456 N ROCKFORD DR (ROUTE 14),0456 N ROCKFORD DR (ROUTE 14),0457 ACE JONES DR,0457 N ROCKFORD DR (ROUTE 14),0457 N ROCKFORD DR (ROUTE 14),0458 ACE JONES DR,0458 N RICHMAN ST,0459 ACE JONES LN,0459 ACE JONES LN,0459 ACE JONES LN
[1](N RICHMAN ST TO ACE JONES LN),0459 ACE JONES LN / N RICHMAN ST,0459 N RICHMAN ST,0459 N RICHMAN ST / ACE JONES LN,0462 HANGMAN AVE / N SHELDON AVE,0462 N SHELDON AVE,0462 N SHELDON AVE / HANGMAN AVE,0466 HILLCREST RIDGE ACCESS RD / N SHELDON AVE,0466 N SHELDON AVE,0466 N SHELDON AVE,0466 N SHELDON AVE,0466 N SHELDON AVE,0466 N SHELDON AVE,0466 N SHELDON AVE,0466 N SHELDON AVE,0466 N SHELDON AVE
[1](HANGMAN AVE TO HILLCREST RIDGE ACCESS RD),0466 N SHELDON AVE
[1](HILLCREST AVE TO HILLCREST RIDGE ACCESS RD),0466 N SHELDON AVE / HILLCREST RIDGE ACCESS RD,0467 HILLCREST AVE,0467 HILLCREST AVE,0467 HILLCREST AVE,0467 HILLCREST AVE,0467 HILLCREST AVE / N SHELDON AVE,0467 N SHELDON AVE,0467 N SHELDON AVE
[1](HILLCREST AVE TO HILLCREST RIDGE ACCESS RD),0467 N SHELDON AVE
[1](HILLCREST AVE TO HILLCREST RIDGE ACCESS RD),0467 N SHELDON AVE
[1](HILLCREST AVE TO HILLCREST RIDGE ACCESS RD),0467 N SHELDON AVE / HILLCREST AVE,458,466,MARTIN MADRAZO HOUSE / 2884 HILLCREST AVE - 0468 HILLCREST AVE,MIGUEL MADRAZO MANSION - 0458 ACE JONES DR,MIGUEL MADRAZO MANSION - 0458 RICHMAN ST,PARSONS REHABILITATION CENTER - 0430 MARLOWE DR BLDG BACK BUILDING,PARSONS REHABILITATION CENTER - 0461 MARLOWE DR","1,10,4,8,6,5,7,2,3,9,11,12",50
0653 PALOMINO AVE (ROUTE 16),"1,10,6,7,5,8,2,9,4,3,11,12",1
"0491 SAN VITUS BLVD,0620 HAWICK AVE (ROUTE 17),0621 HAWICK AVE (ROUTE 17)
[1](SAN VITUS BLVD TO LAS LAGUNAS BLVD),0621 HAWICK AVE (ROUTE 17) UNIT D,0621 SAN VITUS BLVD,0622 * SPANISH LN
[1](SAN VITUS BLVD TO SPANISH AVE),0622 * SPANISH LN
[2](SAN VITUS BLVD TO EASTBOURNE WAY),0622 SAN VITUS BLVD,0622 SAN VITUS BLVD,0622 SAN VITUS BLVD
[1](* SPANISH LN TO * SPANISH LN),0622 SAN VITUS BLVD
[2](* SPANISH LN TO SPANISH AVE),0622 SAN VITUS BLVD / SPANISH LN,0622 SAN VITUS BLVD / SPANISH LN,0622 SPANISH AVE,0622 SPANISH AVE
[2](SAN VITUS BLVD TO N ARCHER AVE),0622 SPANISH LN / SAN VITUS BLVD,0622 SPANISH LN / SAN VITUS BLVD,0624 N ARCHER AVE,0624 N ARCHER AVE,0624 SAN VITUS BLVD,0624 SAN VITUS BLVD
[1](* SPANISH LN TO SPANISH AVE),0624 SAN VITUS BLVD / SPANISH AVE,0624 SPANISH AVE,0624 SPANISH AVE,0624 SPANISH AVE,0624 SPANISH AVE
[1](SAN VITUS BLVD TO EASTBOURNE WAY),0624 SPANISH AVE / SAN VITUS BLVD,0625 SPANISH AVE,0626 * SPANISH LN,0626 EASTBOURNE WAY BLDG A [C],0626 EASTBOURNE WAY BLDG B [C],0626 SPANISH AVE,0626 SPANISH AVE,0626 SPANISH AVE,0626 SPANISH AVE,0626 SPANISH AVE,0627 HAWICK AVE (ROUTE 17),0627 SAN VITUS BLVD,0634 EASTBOURNE WAY
[1](* SPANISH LN TO ROUTE 17 (HAWICK AVE)),0635 * SPANISH LN,0635 EASTBOURNE WAY,0635 EASTBOURNE WAY
[1](* SPANISH LN TO ROUTE 17 (HAWICK AVE)),0635 EASTBOURNE WAY
[2](* SPANISH LN TO * SPANISH LN),0635 EASTBOURNE WAY / SPANISH LN,0635 SPANISH AVE,0635 SPANISH LN / EASTBOURNE WAY,1561 SAN VITUS BLVD - 0624 SAN VITUS BLVD,622,624,626,AL DENTE'S D BURTON - 0622 HAWICK AVE (ROUTE 17) UNIT B,AUTO SHOP BURTON / TUNEUPS - 0621 HAWICK AVE (ROUTE 17) UNIT E,ECLIPSE LODGE - 0626 SAN VITUS BLVD [C],HARDCORE COMIC STORE - 0503 ECLIPSE BLVD (ROUTE 18),RANCH A BURTON - 0621 HAWICK AVE (ROUTE 17),SWALLOW C BURTON - 0622 HAWICK AVE (ROUTE 17) UNIT A,UNIVERSAL UNIFORM B BURTON - 0621 HAWICK AVE (ROUTE 17) UNIT C","1,10,6,7,8,5,2,4,9,3,11,12",57
