REGEX:,"\[{0,}([A-Za-z9]{1,})[0-9]{0,}[A-Z0-9a-z\]]{0,}",,,,QGIS Base URL,https://qgiscloud.com/jpeterson24/DOJRP_GTA_V/?l=address_cids_info%2Caddress_cross_streets%2Caddress_cids_info_bldg_occupancy!%2Caddress_cids_info_bldg_class!%2Caddress_cids_info_bldg_height!%2Chydrants!%2Cfire_stations_3857%2Cradio_towers_3857%2Cstreet_network_3857%2Cpostals_3857%2Cfire_box_3857%2Cfire_area_3857!%2Cpolice_jurisdiction_3857!%2Czip_3857!%2Cjurisdiction_3857!%2CRadio%20Coverage!%2CSatellite%2CGTA%20Terrain&t=DOJRP_GTA_V&e=-911%2C-2137%2C1527%2C-940&st=
Station Apparatus List,Unit Code,Unit Code List,Unit Verbalization,,,
[CME01],CME,A,Ambulance,,"https://www.google.com/speech-api/v2/synthesize?enc=mpeg&client=chromium&key=AIzaSyBOti4mM-6x9WDnZIjIeyEU21OpBXqWBgw&text="",user_verbal_5,""&lang=en-US&speed=0.45&pitch=0.45",
[CME02],CME,AC,Assistant Chief,,Base URL,https://www.google.com/speech-api/v2/synthesize?
[CME03],CME,AIR,Air,,enc,mpeg
[CME04],CME,AIROPS,Air Ops,,client,chromium
[CME05],CME,AMR,A M R,,key,AIzaSyBOti4mM-6x9WDnZIjIeyEU21OpBXqWBgw
[CME06],CME,AMR9,A M R,,text,
[CME07],CME,AR,Air Rescue,,lang,en-US
[CME08],CME,ARCHER,Archer,,speed,0.45
[CME09],CME,AT,Attack Tanker,,pitch,0.45
[CME10],CME,ATV,A T V,,full_url,https://www.google.com/speech-api/v2/synthesize?enc=mpeg&client=chromium&key=AIzaSyBOti4mM-6x9WDnZIjIeyEU21OpBXqWBgw&lang=en-US&speed=0.45&pitch=0.45
[CME11],CME,BC,Battalion Chief,,tone1,https://cdn.discordapp.com/attachments/405430746795474975/930203583390044160/Single_DISP_Tone.mp3
[CME12],CME,BIKE,Blade,,tone1_long,https://cdn.discordapp.com/attachments/405430746795474975/1064672500354666536/Alert_1_2000ms.mp3
[CME20],CME,BLADE,Baywatch Del Sol,,tone2,https://cdn.discordapp.com/attachments/405430746795474975/930203663669006346/Two_DISP_Tones.mp3
[CME21],CME,BWDS,Chief Deputy,,tone3,https://cdn.discordapp.com/attachments/405430746795474975/930203676369371206/Three_DISP_Tones.mp3
[CME22],CME,CD,Fire Chief,,alert2_short,https://cdn.discordapp.com/attachments/405430746795474975/930203631976857691/Alert_2_1500ms.mp3
[CME23],CME,CF,Command,,alert2_long,https://cdn.discordapp.com/attachments/405430746795474975/930203644824019084/Alert_2_5000ms.mp3
[CME24],CME,CM,Crash,,TONE_STA1,https://cdn.discordapp.com/attachments/405430746795474975/1064706257954557952/Station01.mp3
[CME25],CME,CME,Division,,TONE_STA2,https://cdn.discordapp.com/attachments/405430746795474975/1064706258302664784/Station02.mp3
[CME26],CME,CRASH,Deputy Chief,,TONE_STA3,https://cdn.discordapp.com/attachments/405430746795474975/1064706258663395470/Station03.mp3
[CME27],CME,D,Dive,,TONE_STA4,https://cdn.discordapp.com/attachments/405430746795474975/1064706259019890708/Station04.mp3
[CME28],CME,DC,Engine,,TONE_STA5,https://cdn.discordapp.com/attachments/405430746795474975/1064706259330281512/Station05.mp3
[CME29],CME,DIVE,E M S,,TONE_STA6,https://cdn.discordapp.com/attachments/405430746795474975/1064706259690979368/Station06.mp3
[CME30],CME,E,Fire Administrator,,TONE_STA7,https://cdn.discordapp.com/attachments/405430746795474975/1064706259984601088/Station07.mp3
[CME31],CME,EMS,Fly Car,,TONE_STA8,https://cdn.discordapp.com/attachments/405430746795474975/1064706289579610173/Station08.mp3
[CME32],CME,FA,Fire Hawk,,TONE_STA9,https://cdn.discordapp.com/attachments/405430746795474975/1064706289856430121/Station09.mp3
[CME33],CME,FC,Fire Investigator,,TONE_STA10,https://cdn.discordapp.com/attachments/405430746795474975/1064706290133241926/Station10.mp3
[CME34],CME,FH,Fire Marshal,,TONE_STA11,https://cdn.discordapp.com/attachments/405430746795474975/1064706290464608256/Station11.mp3
[CME35],CME,FI,Griffin,,TONE_STA12,https://cdn.discordapp.com/attachments/405430746795474975/1064711061674135582/Station12.mp3
[CME36],CME,FM,Haz Mat,,TONE_STA13,https://cdn.discordapp.com/attachments/405430746795474975/1064706291139874896/Station13.mp3
[CME37],CME,FMK9,K 9,,TONE_STA14,https://cdn.discordapp.com/attachments/405430746795474975/1064706291504795768/Station14.mp3
[CME38],CME,GR,Knight Truck,,NYPD1013,https://cdn.discordapp.com/attachments/405430746795474975/1064682471872004148/1013.mp3
[CME39],CME,GUARDIAN,Ladder,,,
[CME40],CME,HM,Light Force,,,
[CME41],CME,K9,Medic,,,
[CME42],CME,KT,Marine,,,
[CME43],CME,L,Medical Examiner,,,
[EMS01],EMS,LF,Phoenix,,,
[EMS04],EMS,M,Patrol Truck,,,
[EMS05],EMS,MARINE,Quint,,,
[EMS06],EMS,MARRES,Rescue,,,
[EMS07],EMS,MARSUP,Rescue Boat,,,
[EMS08],EMS,PH,Safety Officer,,,
[EMS09],EMS,PT,Sprint,,,
[FI01],FI,QNT,S S,,,
[FI02],FI,R,Swift Water,,,
[FI03],FI,RB,Truck,,,
[FI04],FI,S,Tower Ladder,,,
[FI05],FI,SO,Tanker,,,
[FI06],FI,SPRINT,Utility,,,
[FI07],FI,SS,U SAR,,,
[FI08],FI,SW,U SAR Utility,,,
[FI09],FI,T,Wildland,,,
[FI10],FI,TL,,,,
[FI11],FI,TNK,,,,
[FI12],FI,U,,,,
[FI20],FI,UK9,,,,
[FI21],FI,US,,,,
[FI22],FI,USAR,,,,
[FI23],FI,UTV,,,,
[FI24],FI,UU,,,,
[FI25],FI,WL,,,,
[FI26],FI,,,,,
[FI27],FI,,,,,
[FI28],FI,,,,,
[FI29],FI,,,,,
[FI30],FI,,,,,
[FI31],FI,,,,,
[FI32],FI,,,,,
[FI33],FI,,,,,
[FI34],FI,,,,,
[FI35],FI,,,,,
[FI36],FI,,,,,
[FI37],FI,,,,,
[FI38],FI,,,,,
[FI39],FI,,,,,
[FI40],FI,,,,,
[FI41],FI,,,,,
[FI42],FI,,,,,
[FI43],FI,,,,,
[FM01],FM,,,,,
[FM02],FM,,,,,
[FM03],FM,,,,,
[FM04],FM,,,,,
[FM05],FM,,,,,
[FM06],FM,,,,,
[FM07],FM,,,,,
[FM08],FM,,,,,
[FM09],FM,,,,,
[FM10],FM,,,,,
[FM11],FM,,,,,
[FM12],FM,,,,,
[FM20],FM,,,,,
[FM21],FM,,,,,
[FM22],FM,,,,,
[FM23],FM,,,,,
[FM24],FM,,,,,
[FM25],FM,,,,,
[FM26],FM,,,,,
[FM27],FM,,,,,
[FM28],FM,,,,,
[FM29],FM,,,,,
[FM30],FM,,,,,
[FM31],FM,,,,,
[FM32],FM,,,,,
[FM33],FM,,,,,
[FM34],FM,,,,,
[FM35],FM,,,,,
[FM36],FM,,,,,
[FM37],FM,,,,,
[FM38],FM,,,,,
[FM39],FM,,,,,
[FM40],FM,,,,,
[FM41],FM,,,,,
[FM42],FM,,,,,
[FM43],FM,,,,,
[FMK901],FMK9,,,,,
[FMK902],FMK9,,,,,
[FMK903],FMK9,,,,,
[FMK904],FMK9,,,,,
[FMK905],FMK9,,,,,
[FMK906],FMK9,,,,,
[FMK907],FMK9,,,,,
[FMK908],FMK9,,,,,
[FMK909],FMK9,,,,,
[FMK910],FMK9,,,,,
[FMK911],FMK9,,,,,
[FMK912],FMK9,,,,,
A001,A,,,,,
A002,A,,,,,
A003,A,,,,,
A004,A,,,,,
A005,A,,,,,
A006,A,,,,,
A007,A,,,,,
A008,A,,,,,
A009,A,,,,,
A011,A,,,,,
A020,A,,,,,
A021,A,,,,,
A022,A,,,,,
A023,A,,,,,
A024,A,,,,,
A025,A,,,,,
A026,A,,,,,
A027,A,,,,,
A028,A,,,,,
A029,A,,,,,
A030,A,,,,,
A031,A,,,,,
A032,A,,,,,
A033,A,,,,,
A034,A,,,,,
A035,A,,,,,
A036,A,,,,,
A037,A,,,,,
A038,A,,,,,
A039,A,,,,,
A040,A,,,,,
A041,A,,,,,
A042,A,,,,,
A043,A,,,,,
A201,A,,,,,
A220,A,,,,,
A221,A,,,,,
A222,A,,,,,
A223,A,,,,,
AC01,AC,,,,,
AC02,AC,,,,,
AIR23,AIR,,,,,
AIR25,AIR,,,,,
AIR26,AIR,,,,,
AIR31,AIR,,,,,
AIR33,AIR,,,,,
AIR34,AIR,,,,,
AIR51,AIR,,,,,
AIR52,AIR,,,,,
AIR53,AIR,,,,,
AIR55,AIR,,,,,
AIROPS01,AIROPS,,,,,
AIROPS02,AIROPS,,,,,
AIROPS03,AIROPS,,,,,
AIROPS04,AIROPS,,,,,
AIROPS05,AIROPS,,,,,
