"1,10,2,6,8,5,7,4,3,9,11,12",1-52A 1-52B
"1,10,2,7,6,4,8,5,3,9,11,12",1-28 1-52D 1-52E
"1,10,2,7,6,8,4,5,9,3,11,12",1-25
"1,10,2,7,6,8,5,4,3,9,11,12",1-34
"1,10,4,6,8,5,7,2,3,9,11,12",1-32 1-513B 1-513D
"1,10,4,6,8,7,5,2,3,9,11,12",1-27 1-52Q
"1,10,4,8,5,6,7,2,3,9,11,12",1-39 1-48 1-513A
"1,10,4,8,6,5,7,2,3,9,11,12",1-33 1-38 1-6
"1,10,6,7,5,8,2,9,4,3,11,12",1-42
"1,10,6,7,8,5,2,4,9,3,11,12",1-13
"1,10,6,7,8,5,4,2,9,3,11,12",1-21 1-52P
"1,10,6,8,5,7,4,2,3,9,11,12",1-1 1-23 1-399G 1-8 1-9
"1,10,6,8,7,5,2,4,3,9,11,12",1-11
"1,10,6,8,7,5,4,2,3,9,11,12",1-42
"1,10,6,8,7,5,4,2,9,3,11,12",1-22
"1,10,6,8,7,5,4,9,3,2,11,12",1-107
"1,10,6,8,7,5,9,4,3,2,11,12",1-105 1-107
"1,10,7,6,2,8,5,4,9,3,11,12",1-20 1-30 1-51B 1-51C 1-51E 1-51F 1-52M
"1,10,7,6,2,8,5,9,4,3,11,12",1-18 1-398B 1-399D 1-42 1-42A
"1,10,7,6,2,9,8,5,4,3,11,12",1-500D 1-500E
"1,10,7,6,5,8,2,9,4,3,11,12",1-42
"1,10,7,6,8,5,2,4,9,3,11,12",1-10 1-12 1-14 1-15 1-17 1-24 1-26 1-51D 1-52N
"1,10,7,6,8,5,2,9,4,3,11,12",1-399J
"1,10,7,6,8,5,4,2,9,3,11,12",1-19 1-52O
"1,10,7,6,9,8,5,4,2,3,11,12",1-110
"1,10,8,6,5,7,4,2,3,9,11,12",1-31
"1,10,8,6,7,5,4,2,3,9,11,12",1-399H 1-42
"1,10,8,6,7,5,4,9,3,2,11,12",1-103 1-105
"1,4,8,10,5,6,7,3,2,9,11,12",1-50J
"1,7,10,6,2,8,5,9,4,3,11,12",1-399E
